NDB_No,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_(mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg)
05060,"CHICKEN,BROILERS OR FRYERS,BREAST,MEAT&SKN,CKD,RSTD",62.44,197,29.8,7.78,0.99,0,0,0,14,1.07,27,214,245,71,1.02,0.05,0.018,24.7,0,0.066,0.119,12.71,0.936,0.56,4,0,4,4,72.8,0.32,93,28,28,0,0,0,0,0,0.27,0.1,5,0.3,2.19,3.03,1.66,84
05061,"CHICKEN,BROILERS OR FRYERS,BREAST,MEAT&SKN,CKD,STWD",66.21,184,27.39,7.42,0.84,0,0,0,13,0.92,22,156,178,62,0.97,0.044,0.018,21.8,0,0.041,0.115,7.807,0.547,0.29,3,0,3,3,64.4,0.21,82,25,25,0,0,0,0,0,0.27,0.1,5,0.2,2.08,2.9,1.58,75
05062,"CHICKEN,BROILER OR FRYERS,BRST,SKINLESS,BNLESS,MEAT ONLY,RAW",73.9,120,22.5,2.62,1.13,0,0,0,5,0.37,28,213,334,45,0.68,0.037,0.011,22.8,0,0.094,0.177,9.6,1.495,0.811,9,0,9,9,82.1,0.21,30,9,9,0,0,0,0,0,0.56,0,1,0,0.563,0.689,0.424,73
05063,"CHICKEN,BROILERS OR FRYERS,BREAST,MEAT ONLY,CKD,FRIED",60.21,187,33.44,4.71,1.14,0.51,0,0,16,1.14,31,246,276,79,1.08,0.054,0.021,26.2,0,0.079,0.125,14.782,1.04,0.64,4,0,4,4,95.9,0.37,23,7,7,0,0,0,0,0,0.42,0.1,5,2.4,1.29,1.72,1.07,91
05064,"CHICKEN,BROILERS OR FRYERS,BREAST,MEAT ONLY,CKD,RSTD",65.26,165,31.02,3.57,1.06,0,0,0,15,1.04,29,228,256,74,1,0.049,0.017,27.6,0,0.07,0.114,13.712,0.965,0.6,4,0,4,4,85.3,0.34,21,6,6,0,0,0,0,0,0.27,0.1,5,0.3,1.01,1.24,0.77,85
05065,"CHICKEN,BROILERS OR FRYERS,BREAST,MEAT ONLY,CKD,STWD",68.27,151,28.98,3.03,0.91,0,0,0,13,0.88,24,165,187,63,0.97,0.043,0.018,22.3,0,0.042,0.119,8.469,0.573,0.33,3,0,3,3,78.5,0.23,19,6,6,0,0,0,0,0,0.27,0.1,5,0.2,0.85,1.03,0.66,77
05066,"CHICKEN,BROILERS OR FRYERS,DRUMSTK,MEAT&SKN,RAW",72.46,161,18.08,9.2,0.86,0.11,0,0,8,0.71,18,163,211,106,1.86,0.062,0.014,20.2,0,0.083,0.195,4.841,1.034,0.345,3,0,3,3,52.8,0.53,46,14,14,0,0,0,0,102,0.19,0.1,2,2.5,2.459,3.719,1.965,92
05067,"CHICKEN,BROILERS OR FRYERS,DRUMSTK,MEAT&SKN,CKD,FRIED,BATTER",52.77,268,21.95,15.75,1.25,8.28,0.3,,17,1.35,20,147,186,269,2.33,0.076,0.052,21.9,0,0.112,0.215,5.096,1.007,0.27,18,9,9,24,,0.28,86,26,26,,,,,,,,,,4.14,6.43,3.79,86
05068,"CHICKEN,BROILERS OR FRYERS,DRUMSTK,MEAT&SKN,CKD,FRIED,FLR",56.73,245,26.96,13.72,0.96,1.63,0.1,,12,1.34,23,176,229,89,2.89,0.08,0.028,18.4,0,0.081,0.225,6.037,1.215,0.35,10,2,8,11,,0.32,84,25,25,,,,,,,,,,3.66,5.42,3.23,90
05069,"CHICKEN,BROILERS OR FRYERS,DRUMSTK,MEAT&SKN,CKD,RSTD",66.39,191,23.35,10.15,1.02,0,0,0,11,1.11,22,195,247,123,2.36,0.071,0.015,26.9,0,0.093,0.203,5.403,1.077,0.383,4,0,4,4,67.8,0.39,40,12,12,0,0,0,0,11,0.19,0.1,2,3.2,2.74,4.155,2.083,130
05070,"CHICKEN,BROILERS OR FRYERS,DRUMSTK,MEAT&SKN,CKD,STWD",65.12,204,25.32,10.64,0.82,0,0,0,11,1.33,20,141,184,76,2.65,0.071,0.019,17,0,0.05,0.19,4.204,0.858,0.19,7,0,7,7,59.2,0.22,91,27,27,0,0,0,0,0,0.27,0.1,5,4,2.91,4.07,2.38,83
05071,"CHICKEN,BROILERS OR FRYERS,DK MEAT,DRUMSTK,MEAT ONLY,RAW",76.78,116,19.41,3.71,0.92,0,0,0,9,0.76,20,174,225,114,2.05,0.066,0.014,21.8,0,0.09,0.22,5.198,1.1,0.381,4,0,4,4,56.7,0.51,22,7,7,0,0,0,0,102,0.18,0,1,2.9,0.949,1.33,0.854,89
05072,"CHICKEN,BROILERS OR FRYERS,DRUMSTK,MEAT ONLY,CKD,FRIED",62.24,195,28.62,8.08,1.06,0,0,,12,1.32,24,186,249,96,3.22,0.08,0.021,19.6,0,0.077,0.236,6.146,1.32,0.39,9,0,9,9,,0.35,61,18,18,,,,,,,,,,2.13,2.94,1.97,94
05073,"CHICKEN,BROILERS OR FRYERS,DK MEAT,DRUMSTK,MEAT ONLY,CKD,RST",69.93,155,24.24,5.7,1.06,0,0,0,11,1.14,22,200,256,128,2.56,0.074,0.014,28.1,0,0.098,0.222,5.598,1.1,0.407,4,0,4,4,70.3,0.38,21,6,6,0,0,0,0,0,0.18,0,1,3.5,1.505,2.181,1.202,130
05074,"CHICKEN,BROILERS OR FRYERS,DRUMSTK,MEAT ONLY,CKD,STWD",67.58,169,27.5,5.71,0.91,0,0,0,11,1.37,21,150,199,80,3.02,0.077,0.019,18,0,0.054,0.213,4.3,0.961,0.23,8,0,8,8,73.1,0.24,57,17,17,0,0,0,0,0,0.27,0.1,5,3.4,1.51,1.93,1.37,88
05075,"CHICKEN,BROILERS OR FRYERS,LEG,MEAT&SKN,RAW",67.3,214,16.37,15.95,0.81,0.17,0,0,9,0.69,19,155,203,84,1.47,0.054,0.016,18,0.2,0.073,0.141,4.733,0.994,0.318,4,0,4,4,41.6,0.56,92,28,28,0,0,0,0,91,0.22,0.1,2,2.3,4.366,6.619,3.352,93
05076,"CHICKEN,BROILERS OR FRYERS,LEG,MEAT&SKN,CKD,FRIED,BATTER",52.08,273,21.77,16.17,1.26,8.72,0.3,,18,1.4,20,152,189,279,2.17,0.08,0.054,26.6,0,0.116,0.221,5.433,0.994,0.27,18,9,9,24,,0.28,91,27,27,,,,,,,,,,4.28,6.58,3.85,90
05077,"CHICKEN,BROILERS OR FRYERS,LEG,MEAT&SKN,CKD,FRIED,FLR",55.28,254,26.84,14.43,0.95,2.5,0.1,,13,1.43,24,182,233,88,2.68,0.085,0.032,20.8,0,0.088,0.235,6.546,1.198,0.34,11,3,8,13,,0.31,92,28,28,,,,,,,,,,3.9,5.68,3.33,94
05078,"CHICKEN,BROILERS OR FRYERS,LEG,MEAT&SKN,CKD,RSTD",66.74,184,24.03,8.99,1.02,0,0,0,12,1.09,23,202,264,98,2.07,0.061,0.02,25.7,0,0.09,0.187,6.034,1.191,0.413,5,0,5,5,70,0.38,68,20,20,0,0,0,0,0,0.19,0.1,4,3.9,2.446,3.564,1.855,127
05079,"CHICKEN,BROILERS OR FRYERS,LEG,MEAT&SKN,CKD,STWD",64.01,220,24.17,12.92,0.79,0,0,0,11,1.35,20,139,176,73,2.43,0.071,0.019,18.9,0,0.054,0.191,4.59,0.812,0.18,6,0,6,6,56.4,0.2,124,37,37,0,0,0,0,0,0.27,0.1,5,3.5,3.57,5.04,2.87,84
05080,"CHICKEN,BROILERS OR FRYERS,LEG,MEAT ONLY,RAW",76.41,120,19.16,4.22,0.95,0,0,0,10,0.78,23,180,238,96,1.76,0.06,0.017,21,0,0.087,0.179,5.578,1.17,0.406,4,0,4,4,48.6,0.57,32,10,10,0,0,0,0,95,0.18,0,1,2.8,1.05,1.44,0.962,91
05081,"CHICKEN,BROILERS OR FRYERS,LEG,MEAT ONLY,CKD,FRIED",60.61,208,28.38,9.32,1.05,0.65,0,,13,1.4,25,193,254,96,2.98,0.086,0.025,18.8,0,0.083,0.247,6.688,1.301,0.39,9,0,9,9,,0.34,66,20,20,,,,,,,,,,2.49,3.43,2.22,99
05082,"CHICKEN,BROILERS OR FRYERS,LEG,MEAT ONLY,CKD,RSTD",67.69,174,24.22,7.8,1.04,0,0,0,12,1.08,24,205,269,99,2.11,0.061,0.019,25.2,0,0.091,0.189,6.053,1.209,0.425,5,0,5,5,63.4,0.39,22,7,7,0,0,0,0,0,0.16,0.1,5,3.6,2.108,3.052,1.605,128
05083,"CHICKEN,BROILERS OR FRYERS,LEG,MEAT ONLY,CKD,STWD",66.44,185,26.26,8.06,0.88,0,0,0,11,1.4,21,149,190,78,2.78,0.077,0.019,26.5,0,0.059,0.216,4.798,0.913,0.21,8,0,8,8,69.7,0.23,60,18,18,0,0,0,0,0,0.27,0.1,5,3.6,2.2,2.93,1.88,89
05084,"CHICKEN,BROILERS OR FRYERS,NECK,MEAT&SKN,RAW",59.99,297,14.07,26.24,0.55,0,0,,18,1.9,13,112,137,64,1.86,0.08,0.033,12,0,0.047,0.191,3.608,0.85,0.17,5,0,5,5,,0.26,216,65,65,,,,,,0.3,,,,7.27,10.55,5.68,99
05085,"CHICKEN,BROILERS OR FRYERS,NECK,MEAT&SKN,CKD,FRIED,BATTER",46.92,330,19.82,23.52,1.04,8.7,,,31,2.15,16,115,151,276,2.5,0.113,0.065,21.3,0,0.1,0.237,4.528,0.839,0.21,15,8,7,21,,0.24,170,51,51,,,,,,,,,,6.22,9.79,5.56,91
05086,"CHICKEN,BROILERS OR FRYERS,NECK,MEAT&SKN,CKD,FRIED,FLR",47.49,332,24.01,23.61,0.65,4.24,,,31,2.42,19,132,180,82,3.07,0.13,0.052,18.6,0,0.078,0.259,5.348,0.982,0.25,11,5,6,15,,0.26,190,57,57,,,,,,,,,,6.32,9.7,5.47,94
05087,"CHICKEN,BROILERS OR FRYERS,NECK,MEAT&SKN,CKD SIMMRD",61.73,247,19.61,18.1,0.61,0,0,0,27,2.3,13,122,108,52,2.72,0.097,0.046,17.3,0,0.04,0.248,3.319,0.525,0.1,3,0,3,3,49.3,0.14,161,48,48,0,0,0,0,0,0.27,0.1,6,3.9,5,7.22,3.94,70
05088,"CHICKEN,BROILERS OR FRYERS,NECK,MEAT ONLY,RAW",71.17,154,17.55,8.78,0.69,0,0,,27,2.06,17,113,175,81,2.68,0.109,0.035,13.5,0,0.054,0.228,4.119,1.09,0.29,8,0,8,8,,0.32,146,44,44,,,,,,,,,,2.25,2.73,2.18,83
05089,"CHICKEN,BROILERS OR FRYERS,NECK,MEAT ONLY,CKD,FRIED",58.71,229,26.87,11.88,0.78,1.77,0,,41,2.98,20,135,213,99,4.24,0.161,0.05,20.5,0,0.07,0.318,5.027,1.165,0.35,8,0,8,8,,0.3,162,49,49,,,,,,,,,,3,4.57,3.04,105
05090,"CHICKEN,BROILERS OR FRYERS,NECK,MEAT ONLY,CKD,SIMMRD",67.05,179,24.56,8.18,0.77,0,0,,44,2.63,16,128,140,64,3.77,0.129,0.048,20.5,0,0.046,0.283,3.956,0.671,0.16,6,0,6,6,,0.17,121,,36,,,,,,,0.1,5,,2.1,2.54,2.03,79
05091,"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT&SKN,RAW",66.47,221,16.52,16.61,0.81,0.25,0,0,7,0.68,18,157,204,81,1.29,0.054,0.013,18.9,0,0.073,0.145,4.625,0.19,0.347,3,0,3,3,45.7,0.62,78,23,23,0,0,0,0,108,0.21,0.1,3,2.1,4.524,6.94,3.467,98
05092,"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT&SKN,CKD,FRIED,BATTER",51.5,277,21.61,16.53,1.27,9.08,0.3,,18,1.45,21,155,192,288,2.04,0.082,0.057,23.2,0,0.119,0.227,5.715,0.982,0.26,19,10,9,26,,0.28,95,29,29,,,,,,,,,,4.41,6.7,3.9,93
05093,"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT&SKN,CKD,FRIED,FLR",54.14,262,26.75,14.98,0.94,3.18,0.1,,14,1.49,25,187,237,88,2.52,0.089,0.036,19.9,0,0.094,0.243,6.946,1.185,0.33,12,4,8,15,,0.3,98,29,29,,,,,,,,,,4.09,5.87,3.41,97
05094,"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT&SKN,CKD,RSTD",61.96,232,23.26,14.71,0.98,0,0,0,9,1.08,22,216,253,102,1.73,0.063,0.017,25.3,0,0.088,0.19,5.789,1.227,0.414,4,0,4,4,67.6,0.44,55,16,16,0,0,0,0,17,0.19,0.2,7,3.3,4.111,6.257,2.993,133
05095,"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT&SKN,CKD,STWD",63.11,232,23.26,14.74,0.78,0,0,0,11,1.37,19,139,170,71,2.25,0.07,0.019,17.9,0,0.057,0.191,4.894,0.776,0.17,6,0,6,6,54.1,0.19,151,45,45,0,0,0,0,0,0.27,0.1,5,3.9,4.11,5.84,3.25,84
05096,"CHICKEN,BROILERS OR FRYERS,DK MEAT,THIGH,MEAT ONLY,RAW",76.22,121,19.66,4.12,0.95,0,0,0,7,0.81,23,185,242,95,1.58,0.062,0.013,22.9,0,0.088,0.196,5.557,,0.451,4,0,4,4,53.6,0.61,24,7,7,0,0,0,0,110,0.18,0,1,2.9,1.097,1.497,0.94,94
05097,"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT ONLY,CKD,FRIED",59.31,218,28.18,10.3,1.04,1.18,0,,13,1.46,26,199,259,95,2.79,0.09,0.027,20.5,0,0.088,0.255,7.12,1.285,0.38,9,0,9,9,,0.33,70,,21,,,,,,,0.2,8,,2.78,3.82,2.43,102
05098,"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT ONLY,CKD,RSTD",67,179,24.76,8.15,1.04,0,0,0,9,1.13,24,230,269,106,1.92,0.067,0.016,27.1,0,0.096,0.218,6.208,1.3,0.462,5,0,5,5,71.8,0.42,27,8,8,0,0,0,0,0,0.18,0.2,7,3.9,2.311,3.361,1.695,133
05099,"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT ONLY,CKD,STWD",65.59,195,25,9.79,0.86,0,0,0,11,1.42,21,149,183,75,2.58,0.077,0.02,17.1,0,0.063,0.218,5.2,0.874,0.21,7,0,7,7,67.3,0.21,62,19,19,0,0,0,0,0,0.27,0.1,5,3.6,2.71,3.7,2.24,90
05100,"CHICKEN,BROILERS OR FRYERS,WING,MEAT&SKN,RAW",69.19,191,17.52,12.85,0.74,0,0,0,11,0.46,16,123,187,84,1.21,0.034,0.011,17.6,0,0.054,0.103,5.697,0.64,0.528,7,0,7,7,82,0.25,29,9,9,0,0,0,0,0,0.64,0.1,5,0,3.535,5.422,2.498,111
05101,"CHICKEN,BROILERS OR FRYERS,WING,MEAT&SKN,CKD,FRIED,BATTER",46.21,324,19.87,21.81,1.17,10.94,0.3,,20,1.29,16,121,138,320,1.38,0.063,0.06,25.7,0,0.106,0.152,5.265,0.71,0.3,18,12,6,26,,0.25,113,34,34,,,,,,,,,,5.83,8.96,5.07,79
05102,"CHICKEN,BROILERS OR FRYERS,WING,MEAT&SKN,CKD,FRIED,FLR",48.62,321,26.11,22.16,0.72,2.39,0.1,,15,1.25,19,150,177,77,1.76,0.061,0.028,21.3,0,0.058,0.137,6.697,0.874,0.41,6,3,3,8,,0.28,125,38,38,,,,,,,,,,6.06,8.89,4.95,81
05103,"CHICKEN,BROILERS OR FRYERS,WING,MEAT&SKN,CKD,RSTD",59.4,254,23.79,16.87,0.88,0,0,0,18,0.84,19,147,212,98,1.64,0.041,0.011,25.5,0,0.065,0.153,6.32,0.86,0.558,9,0,9,9,111.3,0.35,39,12,12,0,0,0,0,0,0.69,0.2,7,0.3,4.976,7.706,3.59,141
05104,"CHICKEN,BROILERS OR FRYERS,WING,MEAT&SKN,CKD,STWD",62.18,249,22.78,16.82,0.62,0,0,0,12,1.13,16,121,139,67,1.63,0.046,0.018,18.5,0,0.04,0.103,4.621,0.504,0.22,3,0,3,3,51.3,0.18,133,40,40,0,0,0,0,0,0.27,0.1,5,0.2,4.71,6.6,3.58,70
05105,"CHICKEN,BROILERS OR FRYERS,WING,MEAT ONLY,RAW",74.95,126,21.97,3.54,0.83,0,0,0,13,0.88,22,155,194,81,1.63,0.041,0.018,17.8,1.2,0.059,0.101,7.359,0.836,0.53,4,0,4,4,65.8,0.38,59,18,18,0,0,0,0,0,0.13,0.1,5,0,0.94,0.85,0.8,57
05106,"CHICKEN,BROILERS OR FRYERS,WING,MEAT ONLY,CKD,FRIED",59.83,211,30.15,9.15,0.87,0,0,,15,1.14,21,164,208,91,2.12,0.053,0.016,25.4,0,0.046,0.128,7.239,0.989,0.59,4,0,4,4,,0.34,61,,18,,,,,,,0.1,3,,2.5,3.08,2.07,84
05107,"CHICKEN,BROILERS OR FRYERS,WING,MEAT ONLY,CKD,RSTD",62.78,203,30.46,8.13,0.89,0,0,0,16,1.16,21,166,210,92,2.14,0.054,0.016,24.7,0,0.047,0.129,7.312,0.999,0.59,4,0,4,4,79.6,0.34,61,18,18,0,0,0,0,0,0.27,0.1,5,0.3,2.26,2.61,1.78,85
05108,"CHICKEN,BROILERS OR FRYERS,WING,MEAT ONLY,CKD,STWD",67.01,181,27.18,7.18,0.73,0,0,0,13,1.12,18,134,153,73,2.02,0.047,0.017,21.7,0,0.044,0.11,5.2,0.571,0.32,3,0,3,3,70.6,0.22,54,16,16,0,0,0,0,0,0.27,0.1,5,0.2,2,2.31,1.57,74
05109,"CHICKEN,ROASTING,MEAT&SKN&GIBLETS&NECK,RAW",65.98,213,17.09,15.46,0.86,0.09,0,,10,1.37,19,165,196,69,1.28,0.06,0.027,11.6,2.4,0.059,0.171,6.427,1.019,0.32,26,0,26,26,,0.99,843,253,253,,,,,,,,,,4.41,6.39,3.33,86
05110,"CHICKEN,ROASTING,MEAT&SKN&GIBLETS&NECK,CKD,RSTD",62.35,220,23.96,13.07,0.85,0.05,0,,13,1.61,20,179,204,71,1.71,0.071,0.027,15.7,0.4,0.057,0.189,7.031,1.003,0.34,23,0,23,23,,0.78,597,179,179,,,,,,,,,,3.66,5.22,2.85,94
05111,"CANADA GOOSE,BREAST MEAT,SKINLESS,RAW",70.78,133,24.31,4.02,1.41,0,0,0,4,5.91,29,256,336,50,1.68,0.443,0.05,,0,0.284,1.523,6.56,,1.077,,,,,,4.1,38,11,11,0,0,0,0,0,0.57,,,,0.609,0.817,0.347,80
05112,"CHICKEN,ROASTING,MEAT&SKN,CKD,RSTD",62.1,223,23.97,13.39,0.86,0,0,,12,1.26,20,179,211,73,1.45,0.058,0.018,23.6,0,0.057,0.143,7.418,0.918,0.35,5,0,5,5,,0.27,83,,,,,,,,,,,,3.74,5.4,2.92,76
05113,"CHICKEN,ROASTING,MEAT ONLY,RAW",74.94,111,20.33,2.7,1.07,0,0,0,10,1.03,23,198,238,75,1.19,0.05,0.018,16.9,0,0.069,0.134,7.875,1.032,0.42,7,0,7,7,,0.36,45,13,13,0,0,0,0,0,0.22,,,2.4,0.67,0.83,0.67,65
05114,"CHICKEN,ROASTING,MEAT ONLY,CKD,RSTD",67.41,167,25.01,6.63,0.95,0,0,,12,1.21,21,192,229,75,1.52,0.057,0.017,24.6,0,0.062,0.147,7.881,0.972,0.41,5,0,5,5,,0.29,41,12,12,,,,,,,,,,1.81,2.5,1.51,75
05115,"CHICKEN,ROASTING,GIBLETS,RAW",74.73,127,18.14,5.04,0.95,1.14,0,,10,5.4,17,184,227,77,3.39,0.218,0.13,54.1,13.1,0.08,0.818,6.208,2.696,0.36,276,0,276,276,,9.4,9592,2880,2880,,,,,,,,,,1.54,1.28,1.26,236
05116,"CHICKEN,ROASTING,GIBLETS,CKD,SIMMRD",66.32,165,26.77,5.22,0.83,0.86,0,,12,6.09,20,213,160,60,4.63,0.236,0.147,100.1,6.5,0.074,0.808,4.032,2.512,0.3,303,0,303,303,,8.45,8136,2443,2443,,,,,,,,,,1.64,1.33,1.22,357
05117,"CHICKEN,ROASTING,LT MEAT,MEAT ONLY,RAW",74.3,109,22.2,1.63,1.1,0,0,0,11,0.89,25,223,252,51,0.66,0.038,0.017,17.8,0,0.066,0.089,10.217,0.854,0.55,4,0,4,4,,0.39,27,8,8,0,0,0,0,0,0.22,,,2.4,0.37,0.48,0.4,57
05118,"CHICKEN,ROASTING,LT MEAT,MEAT ONLY,CKD,RSTD",67.85,153,27.13,4.07,0.95,0,0,0,13,1.08,23,217,236,51,0.78,0.042,0.015,25.8,0,0.061,0.093,10.469,0.907,0.54,3,0,3,3,76.8,0.31,25,8,8,0,0,0,0,0,0.27,0.1,5,0.3,1.08,1.52,0.93,75
05119,"CHICKEN,ROASTING,DK MEAT,MEAT ONLY,RAW",75.48,113,18.74,3.61,1.04,0,0,0,9,1.15,21,178,227,95,1.65,0.059,0.02,13.5,0,0.072,0.173,5.878,1.183,0.32,9,0,9,9,,0.34,60,18,18,0,0,0,0,0,0.21,,,2.4,0.93,1.12,0.9,72
05120,"CHICKEN,ROASTING,DK MEAT,MEAT ONLY,CKD,RSTD",67.05,178,23.25,8.75,0.94,0,0,,11,1.33,20,171,224,95,2.13,0.07,0.019,19.6,0,0.063,0.192,5.736,1.026,0.31,7,0,7,7,,0.27,54,16,16,,,,,,,,,,2.43,3.31,2,75
05121,"CHICKEN,STEWING,MEAT&SKN,&GIBLETS&NECK,RAW",62.5,251,17.48,19.52,1.02,0.19,0,,10,1.51,20,173,204,71,1.37,0.092,0.031,12.5,3.1,0.111,0.251,6.383,1.129,0.35,37,0,37,37,,1.26,1102,331,331,,,,,,,,,,5.48,7.82,4.27,87
05122,"CHICKEN,STEWING,MEAT & SKN,& GIBLETS & NECK,CKD,STWD",64.24,214,24.88,11.91,0.79,0,0,0,13,1.64,19,151,171,67,1.96,0.079,0.034,21.4,1,0.054,0.221,5.677,0.878,0.234,25,0,25,25,67.2,0.95,609,182,182,0,1,0,1,3,0.28,0,1,1.9,3.324,4.609,2.584,107
05123,"CHICKEN,STEWING,MEAT&SKN,RAW",61.84,258,17.55,20.33,1.04,0,0,0,10,1.04,20,172,204,71,1.19,0.074,0.019,14.4,0,0.114,0.167,6.262,0.92,0.33,6,0,6,6,,0.32,178,52,52,0,0,0,0,0,0.33,,,2.4,5.71,8.24,4.44,71
05124,"CHICKEN,STEWING,MEAT&SKN,CKD,STWD",53.07,285,26.88,18.87,1.18,0,0,,13,1.37,20,180,182,73,1.77,0.1,0.021,19.7,0,0.094,0.235,5.798,0.753,0.25,5,0,5,5,,0.23,131,39,39,,,,,,,,,,5.11,7.19,4.23,79
05125,"CHICKEN,STEWING,MEAT ONLY,RAW",72.54,148,21.26,6.32,1.27,0,0,0,10,1.09,24,209,251,79,1.4,0.089,0.019,15.7,3.3,0.149,0.207,7.477,1.09,0.44,7,0,7,7,,0.38,105,32,32,0,0,0,0,0,0.24,,,2,1.57,1.94,1.57,63
05126,"CHICKEN,STEWING,MEAT ONLY,CKD,STWD",56.35,237,30.42,11.89,1.35,0,0,0,13,1.43,22,204,202,78,2.06,0.116,0.022,25.2,0,0.112,0.277,6.408,0.861,0.31,6,0,6,6,,0.26,112,34,34,0,0,0,0,0,0.3,,,3.1,3.1,4.05,2.83,83
05127,"CHICKEN,STEWING,GIBLETS,RAW",69.8,168,17.89,9.21,0.97,2.13,0,,10,5.93,18,198,226,77,3.01,0.275,0.151,56.1,11.4,0.097,1.106,8.53,3.275,0.52,350,0,350,350,,10.83,10497,3152,3152,,,,,,,,,,2.63,2.75,2.1,240
05128,"CHICKEN,STEWING,GIBLETS,CKD,SIMMRD",64,194,25.73,9.3,0.87,0.11,0,,13,6.44,20,223,154,56,4.28,0.299,0.177,90.4,5.5,0.09,1.047,4.971,2.971,0.41,367,0,367,367,,9.48,9536,2864,2864,,,,,,,,,,2.66,2.94,1.89,355
05129,"CHICKEN,STEWING,LT MEAT,MEAT ONLY,RAW",73.24,137,23.1,4.21,1.1,0,0,0,11,0.92,26,231,261,53,0.6,0.067,0.018,17.8,1.8,0.132,0.123,9.915,0.887,0.57,4,0,4,4,,0.4,70,21,21,0,0,0,0,0,0.23,,,2.4,0.97,1.25,1.04,47
05130,"CHICKEN,STEWING,LT MEAT,MEAT ONLY,CKD,STWD",57.79,213,33.04,7.98,1.19,0,0,,14,1.19,23,225,199,58,0.83,0.085,0.02,28.7,0,0.094,0.196,8.538,0.69,0.39,4,0,4,4,,0.27,73,22,22,,,,,,,,,,1.98,2.69,1.89,70
05131,"CHICKEN,STEWING,DK MEAT,MEAT ONLY,RAW",71.94,157,19.7,8.12,1.41,0,0,0,10,1.22,23,190,242,101,2.08,0.107,0.021,13.5,4.6,0.163,0.279,5.405,1.262,0.34,10,0,10,10,,0.37,135,41,41,0,0,0,0,0,0.24,,,2.4,2.08,2.52,2.02,77
05132,"CHICKEN,STEWING,DK MEAT,MEAT ONLY,CKD,STWD",55.09,258,28.14,15.28,1.49,0,0,,12,1.64,22,187,204,95,3.12,0.144,0.023,21.8,0,0.128,0.347,4.556,1.01,0.24,8,0,8,8,,0.25,145,44,44,,,,,,,,,,4.07,5.24,3.65,95
05133,"CHICKEN,CAPONS,MEAT&SKN&GIBLETS&NECK,RAW",63.66,232,18.51,16.9,0.94,0.08,0,,11,1.41,21,181,213,47,1.32,0.063,0.028,12.2,2.6,0.065,0.183,7.074,1.101,0.36,27,0,27,27,,1.01,905,272,272,,,,,,,,,,4.89,7.16,3.6,87
05134,"CHICKEN,CAPONS,MEAT&SKN&GIBLETS&NECK,CKD,RSTD",59.25,226,28.35,11.67,1.01,0.04,0,,15,1.79,23,239,243,50,1.94,0.081,0.031,19.3,0.4,0.07,0.219,8.415,1.184,0.41,26,0,26,26,,0.36,734,220,220,,,,,,,,,,3.28,4.71,2.52,103
05135,"CHICKEN,CAPONS,MEAT&SKN,RAW",63.24,234,18.77,17.07,0.96,0,0,0,11,1.09,21,183,217,45,1.17,0.05,0.02,14.6,1.7,0.064,0.127,7.273,0.965,0.36,6,0,6,6,,0.34,129,37,37,0,0,0,0,0,0.32,,,2.4,4.95,7.31,3.62,75
05136,"CHICKEN,CAPONS,MEAT&SKN,CKD,RSTD",58.7,229,28.96,11.65,1.04,0,0,,14,1.49,24,246,255,49,1.74,0.069,0.021,21.6,0,0.07,0.17,8.947,1.104,0.43,6,0,6,6,,0.33,68,,,,,,,,,,,,3.26,4.75,2.52,86
05137,"CHICKEN,CAPONS,GIBLETS,RAW",74.12,130,18.28,5.18,1,1.42,0,,10,6.25,18,207,226,77,3.38,0.268,0.163,55.3,18.4,0.097,1.119,6.984,3.618,0.47,394,0,394,394,,12.95,14566,4374,4374,,,,,,,,,,1.64,1.32,1.19,292
05138,"CHICKEN,CAPONS,GIBLETS,CKD,SIMMRD",66.54,164,26.39,5.4,0.91,0.76,0,,13,6.8,20,235,153,55,4.67,0.294,0.192,95,9,0.095,1.061,4.12,3.296,0.38,414,0,414,414,,1.14,13266,3984,3984,,,,,,,,,,1.77,1.37,1.13,434
